order_id,product_id,quantity,item_price
O902853,P502,3.0,199.0
O900853,P503,1.0,799.0
O903999,P504,,99.0
O908219,P505,1.0,799.0
O907167,P506,2.0,
O900263,P507,,199.0
O906212,P508,3.0,799.0
O904497,P509,3.0,99.0
O907113,P510,2.0,199.0
O905274,P511,1.0,199.0
O907276,P512,1.0,199.0
O900134,P513,,199.0
O906077,P514,3.0,
O907200,P515,3.0,199.0
O908621,P516,2.0,799.0
O902592,P517,2.0,199.0
O901274,P518,,199.0
O909041,P519,,
O900614,P520,,499.0
O902807,P521,,99.0
O908062,P522,1.0,799.0
O908719,P523,1.0,
O908359,P524,3.0,499.0
O901925,P525,,99.0
O908714,P526,1.0,499.0
O906147,P527,1.0,799.0
O908114,P528,,499.0
O900362,P529,3.0,99.0
O907330,P530,,99.0
O901919,P531,,99.0
O907920,P532,1.0,499.0
O909990,P533,3.0,199.0
O903083,P534,,
O903365,P535,3.0,99.0
O902890,P536,1.0,
O906475,P537,1.0,499.0
O908717,P538,2.0,799.0
O905235,P539,2.0,
O903758,P540,,499.0
O905625,P541,3.0,499.0
O909920,P542,2.0,
O900264,P543,3.0,
O909627,P544,2.0,
O900632,P545,,99.0
O900538,P546,3.0,
O906430,P547,2.0,799.0
O903035,P548,2.0,
O909667,P549,1.0,99.0
O902693,P500,2.0,99.0
O900130,P501,2.0,499.0
O907668,P502,3.0,99.0
O902498,P503,3.0,
O902789,P504,3.0,199.0
O906430,P505,1.0,99.0
O903943,P506,3.0,199.0
O904515,P507,3.0,499.0
O901051,P508,1.0,799.0
O904774,P509,3.0,199.0
O909478,P510,1.0,99.0
O903519,P511,,499.0
O900883,P512,2.0,799.0
O907662,P513,,199.0
O905845,P514,1.0,
O904808,P515,1.0,99.0
O905983,P516,3.0,99.0
O900137,P517,1.0,99.0
O906847,P518,3.0,799.0
O906122,P519,1.0,99.0
O902812,P520,2.0,
O903934,P521,1.0,99.0
O906148,P522,,499.0
O904438,P523,3.0,
O900830,P524,2.0,
O905624,P525,1.0,
O906795,P526,1.0,799.0
O907421,P527,1.0,199.0
O902479,P528,3.0,199.0
O906313,P529,3.0,499.0
O909708,P530,3.0,
O900828,P531,1.0,
O902009,P532,1.0,199.0
O908882,P533,2.0,799.0
O900187,P534,2.0,
O904336,P535,3.0,99.0
O900876,P536,,99.0
O907126,P537,1.0,199.0
O903541,P538,3.0,499.0
O901358,P539,1.0,199.0
O905066,P540,2.0,799.0
O909750,P541,3.0,799.0
O909944,P542,3.0,499.0
O901772,P543,2.0,99.0
O904670,P544,2.0,799.0
O904554,P545,,199.0
O908243,P546,,
O901122,P547,2.0,99.0
O904806,P548,1.0,799.0
O905672,P549,,799.0
O906366,P500,2.0,499.0
O907178,P501,2.0,99.0
O908929,P502,1.0,499.0
O902248,P503,2.0,499.0
O909595,P504,1.0,199.0
O902268,P505,,499.0
O905036,P506,,799.0
O904390,P507,3.0,
O907421,P508,2.0,799.0
O900548,P509,3.0,199.0
O904474,P510,2.0,
O900013,P511,,799.0
O900755,P512,1.0,99.0
O906400,P513,,799.0
O907579,P514,3.0,799.0
O903976,P515,,
O902887,P516,,199.0
O906211,P517,2.0,99.0
O907045,P518,2.0,499.0
O904291,P519,,199.0
O903880,P520,,199.0
O900635,P521,2.0,499.0
O901339,P522,3.0,499.0
O902448,P523,2.0,499.0
O900261,P524,2.0,
O903227,P525,2.0,499.0
O901953,P526,,499.0
O905062,P527,2.0,499.0
O909436,P528,,499.0
O907038,P529,1.0,199.0
O901100,P530,1.0,
O902480,P531,1.0,99.0
O904640,P532,,99.0
O903669,P533,1.0,199.0
O906608,P534,,499.0
O906333,P535,2.0,499.0
O905560,P536,2.0,799.0
O904944,P537,2.0,
O909121,P538,3.0,
O904560,P539,1.0,499.0
O908124,P540,,499.0
O900152,P541,3.0,799.0
O907665,P542,2.0,499.0
O907837,P543,3.0,799.0
O905075,P544,,499.0
O905204,P545,2.0,99.0
O905487,P546,3.0,799.0
O905059,P547,3.0,799.0
O906265,P548,2.0,499.0
O905745,P549,1.0,199.0
O903352,P500,1.0,799.0
O909864,P501,2.0,
O905004,P502,1.0,99.0
O907288,P503,3.0,499.0
O909754,P504,3.0,99.0
O906686,P505,,99.0
O902740,P506,1.0,199.0
O904458,P507,3.0,499.0
O906957,P508,2.0,799.0
O901361,P509,2.0,
O905843,P510,,199.0
O905133,P511,1.0,
O904228,P512,2.0,199.0
O907411,P513,3.0,199.0
O907395,P514,1.0,199.0
O907379,P515,,
O902651,P516,1.0,799.0
O900144,P517,1.0,799.0
O901304,P518,1.0,199.0
O906559,P519,,799.0
O903317,P520,1.0,
O906688,P521,3.0,
O907153,P522,1.0,199.0
O908669,P523,3.0,
O907174,P524,2.0,499.0
O903219,P525,2.0,199.0
O909785,P526,1.0,799.0
O908175,P527,2.0,
O907409,P528,,99.0
O908551,P529,3.0,799.0
O909517,P530,1.0,99.0
O906533,P531,1.0,
O900508,P532,3.0,499.0
O905864,P533,2.0,199.0
O900411,P534,1.0,
O904458,P535,3.0,199.0
O909004,P536,3.0,199.0
O908410,P537,,499.0
O902148,P538,3.0,99.0
O905738,P539,,199.0
O909051,P540,1.0,
O905807,P541,2.0,499.0
O905810,P542,2.0,
O906800,P543,3.0,199.0
O906895,P544,2.0,499.0
O907419,P545,1.0,799.0
O901475,P546,,199.0
O903854,P547,1.0,799.0
O909346,P548,1.0,99.0
O904879,P549,1.0,499.0
O903505,P500,3.0,499.0
O908186,P501,,
O906309,P502,2.0,499.0
O901986,P503,,199.0
O908540,P504,2.0,199.0
O907516,P505,,99.0
O901489,P506,3.0,199.0
O906545,P507,2.0,199.0
O904846,P508,,799.0
O909681,P509,2.0,499.0
O901365,P510,1.0,99.0
O901593,P511,1.0,
O909838,P512,3.0,
O904744,P513,1.0,499.0
O904018,P514,3.0,
O907733,P515,3.0,99.0
O908566,P516,1.0,499.0
O905855,P517,,99.0
O902747,P518,3.0,799.0
O908942,P519,1.0,99.0
O905027,P520,2.0,499.0
O904952,P521,3.0,199.0
O909840,P522,,799.0
O909129,P523,2.0,99.0
O904202,P524,1.0,199.0
O904245,P525,1.0,199.0
O906338,P526,3.0,199.0
O901484,P527,,99.0
O909336,P528,2.0,499.0
O904018,P529,2.0,199.0
O907274,P530,3.0,99.0
O905594,P531,1.0,99.0
O909343,P532,3.0,
O903724,P533,2.0,199.0
O905071,P534,,99.0
O901685,P535,3.0,799.0
O902446,P536,3.0,799.0
O908727,P537,2.0,499.0
O909033,P538,3.0,
O908022,P539,,199.0
O907419,P540,,199.0
O908719,P541,1.0,499.0
O905698,P542,,99.0
O908586,P543,3.0,199.0
O902414,P544,,799.0
O908234,P545,1.0,499.0
O900576,P546,3.0,499.0
O901242,P547,2.0,99.0
O903827,P548,3.0,199.0
O908441,P549,1.0,199.0
O908968,P500,,199.0
O907788,P501,2.0,
O906815,P502,,
O902199,P503,1.0,499.0
O905736,P504,2.0,199.0
O902789,P505,3.0,499.0
O902512,P506,3.0,
O908334,P507,2.0,199.0
O902449,P508,3.0,499.0
O908908,P509,,99.0
O909743,P510,2.0,799.0
O903494,P511,3.0,
O902445,P512,3.0,799.0
O904751,P513,2.0,799.0
O905149,P514,,99.0
O903793,P515,3.0,199.0
O903756,P516,,499.0
O900225,P517,1.0,499.0
O907425,P518,3.0,199.0
O904128,P519,2.0,499.0
O906366,P520,3.0,
O905803,P521,1.0,
O903018,P522,3.0,499.0
O903320,P523,1.0,99.0
O900926,P524,3.0,99.0
O904031,P525,,
O903561,P526,2.0,99.0
O900702,P527,,499.0
O902478,P528,,
O902489,P529,,499.0
O901572,P530,3.0,499.0
O907418,P531,,199.0
O906599,P532,2.0,99.0
O904272,P533,1.0,799.0
O900924,P534,3.0,99.0
O903095,P535,1.0,
O902469,P536,1.0,99.0
O902405,P537,3.0,
O904347,P538,1.0,
O909245,P539,3.0,
O904428,P540,3.0,199.0
O907141,P541,1.0,99.0
O905276,P542,2.0,
O908538,P543,3.0,
O907782,P544,,499.0
O909204,P545,,799.0
O909690,P546,3.0,799.0
O909332,P547,3.0,99.0
O902595,P548,2.0,
O903055,P549,1.0,499.0
O900897,P500,,
O900711,P501,,799.0
O907671,P502,1.0,
O902723,P503,1.0,199.0
O908584,P504,,799.0
O906136,P505,3.0,499.0
O909115,P506,3.0,
O901975,P507,3.0,
O904303,P508,2.0,99.0
O902331,P509,,
O907092,P510,2.0,99.0
O901397,P511,2.0,499.0
O901431,P512,2.0,499.0
O901570,P513,,499.0
O907021,P514,1.0,499.0
O905263,P515,1.0,799.0
O904484,P516,1.0,799.0
O903547,P517,1.0,99.0
O903537,P518,1.0,99.0
O905388,P519,3.0,
O900973,P520,3.0,799.0
O904064,P521,3.0,
O905030,P522,3.0,499.0
O905312,P523,1.0,499.0
O908525,P524,3.0,799.0
O908370,P525,,199.0
O901322,P526,2.0,199.0
O907526,P527,3.0,799.0
O904567,P528,,499.0
O909132,P529,2.0,99.0
O902966,P530,3.0,199.0
O904520,P531,,499.0
O906503,P532,2.0,199.0
O902883,P533,1.0,199.0
O905123,P534,1.0,499.0
O901434,P535,1.0,
O906605,P536,3.0,799.0
O909173,P537,1.0,
O900907,P538,2.0,499.0
O901482,P539,3.0,499.0
O903618,P540,3.0,199.0
O904309,P541,,799.0
O906973,P542,2.0,199.0
O900653,P543,1.0,199.0
O904824,P544,1.0,
O907693,P545,3.0,199.0
O902192,P546,3.0,799.0
O903568,P547,1.0,
O909429,P548,2.0,99.0
O902623,P549,,
O902672,P500,3.0,799.0
O904725,P501,2.0,199.0
O908541,P502,3.0,99.0
O903416,P503,,199.0
O902933,P504,3.0,499.0
O907531,P505,3.0,
O909459,P506,3.0,99.0
O906999,P507,1.0,499.0
O909033,P508,3.0,
O904210,P509,2.0,799.0
O909683,P510,,499.0
O901219,P511,2.0,
O905994,P512,1.0,799.0
O904116,P513,3.0,
O903967,P514,2.0,499.0
O902078,P515,1.0,
O903816,P516,3.0,199.0
O903619,P517,,799.0
O900715,P518,3.0,199.0
O900553,P519,,199.0
O907733,P520,1.0,799.0
O907212,P521,3.0,99.0
O900901,P522,1.0,99.0
O900221,P523,,799.0
O908203,P524,,499.0
O900223,P525,,99.0
O902828,P526,2.0,799.0
O907272,P527,,199.0
O907443,P528,,99.0
O907357,P529,3.0,799.0
O900809,P530,3.0,199.0
O901318,P531,,499.0
O905875,P532,3.0,499.0
O907779,P533,,199.0
O900891,P534,2.0,99.0
O901259,P535,2.0,99.0
O906114,P536,,499.0
O905071,P537,,99.0
O904449,P538,,199.0
O907826,P539,2.0,199.0
O904741,P540,,99.0
O903829,P541,1.0,99.0
O901119,P542,2.0,99.0
O908114,P543,3.0,799.0
O901674,P544,2.0,799.0
O907472,P545,,499.0
O901736,P546,2.0,499.0
O903577,P547,2.0,199.0
O901193,P548,,199.0
O907891,P549,3.0,799.0
O901876,P500,,199.0
O905490,P501,,199.0
O903672,P502,,
O902191,P503,2.0,199.0
O906887,P504,,99.0
O907967,P505,,799.0
O906828,P506,3.0,
O906846,P507,2.0,799.0
O901589,P508,,
O900531,P509,1.0,99.0
O906528,P510,3.0,499.0
O902414,P511,,799.0
O909120,P512,,99.0
O900455,P513,1.0,499.0
O905380,P514,2.0,799.0
O907904,P515,2.0,799.0
O908298,P516,2.0,
O900728,P517,3.0,799.0
O904490,P518,,199.0
O902272,P519,2.0,
O902702,P520,1.0,199.0
O900835,P521,3.0,199.0
O906732,P522,3.0,799.0
O909864,P523,2.0,499.0
O904693,P524,,799.0
O904672,P525,,99.0
O901194,P526,,499.0
O900748,P527,2.0,
O904018,P528,,199.0
O903379,P529,3.0,
O906397,P530,,
O900065,P531,3.0,99.0
O904459,P532,2.0,799.0
O909009,P533,3.0,499.0
O908210,P534,,499.0
O909212,P535,,799.0
O902888,P536,2.0,99.0
O903677,P537,3.0,499.0
O905150,P538,3.0,99.0
O905758,P539,1.0,499.0
O900351,P540,2.0,499.0
O907778,P541,3.0,
O909302,P542,3.0,
O906250,P543,2.0,499.0
O904216,P544,2.0,799.0
O902855,P545,2.0,199.0
O907862,P546,2.0,499.0
O900833,P547,2.0,99.0
O907781,P548,,
O908646,P549,1.0,199.0
O909309,P500,,99.0
O902459,P501,3.0,99.0
O909641,P502,2.0,199.0
O907050,P503,3.0,199.0
O904055,P504,3.0,499.0
O906524,P505,2.0,799.0
O906129,P506,1.0,
O901315,P507,,199.0
O909369,P508,,99.0
O903932,P509,3.0,799.0
O909309,P510,1.0,
O901802,P511,,199.0
O906721,P512,1.0,799.0
O908540,P513,,799.0
O904826,P514,3.0,
O900091,P515,2.0,199.0
O900025,P516,2.0,99.0
O901986,P517,3.0,799.0
O907939,P518,2.0,499.0
O907221,P519,1.0,99.0
O908661,P520,1.0,799.0
O903288,P521,1.0,
O902828,P522,2.0,
O909189,P523,2.0,499.0
O901515,P524,2.0,99.0
O904907,P525,,499.0
O900122,P526,3.0,
O905065,P527,2.0,99.0
O905968,P528,2.0,199.0
O906308,P529,2.0,
O905532,P530,2.0,99.0
O901878,P531,1.0,199.0
O901565,P532,,99.0
O905431,P533,2.0,
O906571,P534,,99.0
O904830,P535,,
O909764,P536,2.0,499.0
O906237,P537,1.0,499.0
O905231,P538,2.0,799.0
O906124,P539,1.0,
O901766,P540,2.0,499.0
O907879,P541,2.0,199.0
O901880,P542,,499.0
O909431,P543,1.0,199.0
O907909,P544,1.0,99.0
O906964,P545,1.0,499.0
O904488,P546,3.0,499.0
O905823,P547,,199.0
O902889,P548,,499.0
O905044,P549,1.0,199.0
O907601,P500,3.0,499.0
O904956,P501,3.0,199.0
O906156,P502,2.0,499.0
O903906,P503,2.0,499.0
O901017,P504,,
O903700,P505,,
O902533,P506,1.0,
O904092,P507,2.0,99.0
O900285,P508,2.0,99.0
O907066,P509,3.0,99.0
O907777,P510,3.0,99.0
O903468,P511,3.0,799.0
O903484,P512,2.0,799.0
O908504,P513,,
O903383,P514,2.0,199.0
O906399,P515,,499.0
O901023,P516,1.0,99.0
O901696,P517,2.0,
O900705,P518,2.0,799.0
O904447,P519,2.0,
O906550,P520,3.0,799.0
O905807,P521,,199.0
O901682,P522,1.0,199.0
O909957,P523,,199.0
O908109,P524,1.0,499.0
O907178,P525,3.0,799.0
O908270,P526,1.0,
O901402,P527,2.0,499.0
O902860,P528,1.0,499.0
O902989,P529,2.0,799.0
O904387,P530,2.0,799.0
O905681,P531,2.0,499.0
O902381,P532,3.0,499.0
O900995,P533,,
O902817,P534,2.0,99.0
O901903,P535,1.0,
O906962,P536,,
O908666,P537,,799.0
O907122,P538,2.0,499.0
O905123,P539,1.0,799.0
O909717,P540,,499.0
O905654,P541,,199.0
O907297,P542,2.0,99.0
O904159,P543,1.0,499.0
O904947,P544,2.0,499.0
O907456,P545,1.0,
O904040,P546,3.0,
O903233,P547,3.0,199.0
O900974,P548,2.0,499.0
O902514,P549,,799.0
O907904,P500,,499.0
O906703,P501,3.0,
O907021,P502,3.0,799.0
O905213,P503,2.0,199.0
O904539,P504,2.0,199.0
O903600,P505,,99.0
O909925,P506,3.0,799.0
O903144,P507,1.0,199.0
O903308,P508,1.0,99.0
O906306,P509,1.0,799.0
O900702,P510,3.0,499.0
O905850,P511,2.0,99.0
O900955,P512,2.0,
O907079,P513,2.0,99.0
O903272,P514,3.0,199.0
O900181,P515,3.0,99.0
O905402,P516,,
O904174,P517,,199.0
O908565,P518,2.0,99.0
O908369,P519,1.0,799.0
O902996,P520,,
O904783,P521,,
O909994,P522,1.0,99.0
O906746,P523,,99.0
O903615,P524,,
O908541,P525,,99.0
O907501,P526,,199.0
O908596,P527,2.0,
O908596,P528,3.0,499.0
O903619,P529,1.0,499.0
O909880,P530,1.0,99.0
O901177,P531,1.0,499.0
O905948,P532,1.0,
O901801,P533,3.0,199.0
O909608,P534,1.0,
O904074,P535,3.0,
O902074,P536,2.0,799.0
O908064,P537,3.0,199.0
O900498,P538,1.0,499.0
O909919,P539,1.0,799.0
O906095,P540,1.0,499.0
O909484,P541,1.0,499.0
O903995,P542,2.0,
O904276,P543,2.0,199.0
O904045,P544,1.0,799.0
O907792,P545,1.0,799.0
O904686,P546,1.0,99.0
O900307,P547,1.0,99.0
O904380,P548,3.0,199.0
O902849,P549,2.0,
O908268,P500,1.0,799.0
O901448,P501,2.0,99.0
O903170,P502,2.0,
O904206,P503,2.0,499.0
O904636,P504,1.0,799.0
O906195,P505,,
O907798,P506,3.0,799.0
O906547,P507,,799.0
O906925,P508,,499.0
O901189,P509,,199.0
O900829,P510,,799.0
O903688,P511,,199.0
O908368,P512,,
O908577,P513,1.0,499.0
O905096,P514,2.0,499.0
O904921,P515,2.0,99.0
O901996,P516,2.0,
O909125,P517,,199.0
O901662,P518,2.0,499.0
O900298,P519,,799.0
O901595,P520,3.0,199.0
O909926,P521,1.0,199.0
O906290,P522,3.0,799.0
O906898,P523,,799.0
O901513,P524,1.0,499.0
O903328,P525,,99.0
O903088,P526,2.0,199.0
O902589,P527,2.0,
O902524,P528,,99.0
O904544,P529,1.0,
O900424,P530,2.0,199.0
O900722,P531,3.0,499.0
O905632,P532,3.0,799.0
O901524,P533,,499.0
O904460,P534,,99.0
O901126,P535,2.0,799.0
O907685,P536,3.0,799.0
O902926,P537,3.0,799.0
O909470,P538,1.0,799.0
O905408,P539,3.0,799.0
O909050,P540,3.0,99.0
O908059,P541,,199.0
O906963,P542,1.0,99.0
O902499,P543,1.0,199.0
O905927,P544,1.0,799.0
O905954,P545,3.0,499.0
O909120,P546,,499.0
O905618,P547,1.0,499.0
O902667,P548,,799.0
O901468,P549,2.0,499.0
O906185,P500,2.0,99.0
O902300,P501,2.0,199.0
O905558,P502,3.0,199.0
O909851,P503,2.0,99.0
O909839,P504,2.0,
O906440,P505,,799.0
O901564,P506,3.0,799.0
O906479,P507,2.0,
O900787,P508,3.0,499.0
O907584,P509,3.0,99.0
O902416,P510,3.0,199.0
O903842,P511,3.0,799.0
O900786,P512,2.0,499.0
O903277,P513,2.0,799.0
O906152,P514,2.0,99.0
O909423,P515,2.0,799.0
O902482,P516,3.0,99.0
O905014,P517,1.0,799.0
O906111,P518,,99.0
O902712,P519,3.0,99.0
O905282,P520,2.0,799.0
O900915,P521,3.0,
O902155,P522,2.0,499.0
O907914,P523,1.0,799.0
