order_id,customer_id,order_date,status
O900291,C1837,2026-02-02,
O900292,C8906,2025-05-22,DELIVERED
O900293,C2757,2025-10-14,PLACED
O900294,C6657,2025-04-15,PLACED
O900295,C7551,2026-02-01,
O900296,C6578,2025-07-09,
O900297,C4079,2025-02-06,
O900298,C1978,2025-08-11,PLACED
O900299,C9485,2025-12-16,
O900300,C9199,2025-08-15,PLACED
O900301,C10357,2025-01-26,
O900302,C6966,2025-09-19,
O900303,C9169,2025-07-28,DELIVERED
O900304,C7334,2025-03-08,PLACED
O900305,C3463,2025-05-06,PLACED
O900306,C3266,2025-10-07,SHIPPED
O900307,C6689,2025-01-27,SHIPPED
O900308,C5306,2025-08-10,
O900309,C7330,2026-01-13,DELIVERED
O900310,C4852,2025-09-23,DELIVERED
O900311,C9880,2025-12-26,PLACED
O900312,C1584,2025-07-15,
O900313,C4809,2025-01-11,SHIPPED
O900314,C3053,2025-07-31,PLACED
O900315,C8368,2025-04-21,DELIVERED
O900316,C2025,2025-12-09,PLACED
O900317,C4310,2026-01-08,
O900318,C3813,2026-01-20,SHIPPED
O900319,C7809,2025-04-29,PLACED
O900320,C8062,2025-08-18,DELIVERED
O900321,C8274,2025-03-21,SHIPPED
O900322,C4660,2025-07-30,
O900323,C4174,2025-03-11,SHIPPED
O900324,C2980,2025-01-09,DELIVERED
O900325,C4441,2025-05-29,DELIVERED
O900326,C3097,2025-04-05,PLACED
O900327,C3816,2025-09-15,SHIPPED
O900328,C4868,2025-05-17,SHIPPED
O900329,C3171,2025-04-10,SHIPPED
O900330,C4511,2025-02-16,SHIPPED
O900331,C4310,2025-07-29,PLACED
O900332,C9744,2026-01-19,
O900333,C4251,2025-10-25,
O900334,C9292,2025-04-27,
O900335,C10507,2025-11-12,PLACED
O900336,C7758,2026-01-11,PLACED
O900337,C3043,2025-01-23,PLACED
O900338,C8786,2025-03-10,DELIVERED
O900339,C10822,2025-07-04,PLACED
O900340,C5498,2025-12-05,DELIVERED
O900341,C9655,2025-04-19,PLACED
O900342,C7348,2025-10-04,SHIPPED
O900343,C6085,2025-06-03,
O900344,C4052,2025-08-13,DELIVERED
O900345,C1466,2025-05-31,PLACED
O900346,C3720,2026-01-29,DELIVERED
O900347,C10649,2025-10-31,
O900348,C5084,2025-02-14,
O900349,C2479,2025-07-16,DELIVERED
O900350,C10123,2025-04-29,DELIVERED
O900351,C2065,2025-03-22,DELIVERED
O900352,C10035,2025-10-15,PLACED
O900353,C4232,2025-09-24,SHIPPED
O900354,C1221,2026-01-08,
O900355,C3907,2025-07-18,PLACED
O900356,C8515,2025-10-06,SHIPPED
O900357,C1929,2025-10-20,PLACED
O900358,C5184,2026-01-09,SHIPPED
O900359,C4400,2025-08-23,SHIPPED
O900360,C8130,2025-01-09,DELIVERED
O900361,C4933,2026-01-17,SHIPPED
O900362,C8325,2025-01-13,SHIPPED
O900363,C5742,2025-03-13,SHIPPED
O900364,C5418,2025-04-23,
O900365,C6888,2025-05-23,DELIVERED
O900366,C7142,2025-12-09,
O900367,C2884,2025-10-01,DELIVERED
O900368,C4203,2025-01-12,
O900369,C1385,2025-04-20,DELIVERED
O900370,C4468,2025-11-18,
O900371,C5307,2025-05-21,SHIPPED
O900372,C9387,2025-05-26,SHIPPED
O900373,C8957,2025-12-07,DELIVERED
O900374,C1849,2025-10-27,DELIVERED
O900375,C4802,2025-03-18,PLACED
O900376,C10133,2025-02-10,PLACED
O900377,C3397,2025-04-10,PLACED
O900378,C1538,2025-08-12,PLACED
O900379,C7114,2025-07-22,PLACED
O900380,C1250,2025-02-25,PLACED
O900381,C7676,2025-03-02,DELIVERED
O900382,C9368,2026-01-30,
O900383,C8856,2026-01-19,DELIVERED
O900384,C2123,2025-01-26,DELIVERED
O900385,C2470,2025-06-16,PLACED
O900386,C8647,2025-08-22,DELIVERED
O900387,C2901,2025-01-25,
O900388,C5194,2025-02-19,PLACED
O900389,C7534,2025-04-14,SHIPPED
O900390,C7854,2025-01-13,SHIPPED
O900391,C10189,2025-05-18,DELIVERED
O900392,C1643,2025-08-14,
O900393,C1119,2025-03-05,DELIVERED
O900394,C2443,2025-08-14,
O900395,C3384,2025-04-26,PLACED
O900396,C9356,2026-01-01,PLACED
O900397,C3153,2025-12-25,PLACED
O900398,C1555,2026-01-27,
O900399,C8910,2025-06-09,PLACED
O900400,C7830,2025-10-29,DELIVERED
O900401,C8758,2025-04-25,SHIPPED
O900402,C9531,2026-01-17,PLACED
O900403,C3504,2025-12-24,SHIPPED
O900404,C8423,2025-06-27,DELIVERED
O900405,C3001,2026-01-26,PLACED
O900406,C2714,2025-03-19,SHIPPED
O900407,C6672,2025-12-29,SHIPPED
O900408,C5345,2025-01-07,DELIVERED
O900409,C3532,2025-05-11,SHIPPED
O900410,C3641,2025-12-28,SHIPPED
O900411,C6947,2025-01-01,DELIVERED
O900412,C9941,2025-01-21,PLACED
O900413,C2113,2025-04-27,
O900414,C10940,2025-10-05,
O900415,C5319,2025-10-08,PLACED
O900416,C6892,2025-05-30,PLACED
O900417,C8809,2025-11-16,PLACED
O900418,C1951,2025-05-02,SHIPPED
O900419,C4527,2025-07-26,DELIVERED
O900420,C6610,2025-10-17,
O900421,C3541,2025-06-14,SHIPPED
O900422,C9386,2025-12-22,
O900423,C2716,2025-12-15,PLACED
O900424,C4201,2025-08-02,
O900425,C1718,2025-05-31,
O900426,C6065,2025-07-18,DELIVERED
O900427,C1350,2025-03-15,DELIVERED
O900428,C7311,2026-01-07,PLACED
O900429,C1299,2025-05-14,
O900430,C4802,2025-04-04,
O900431,C6423,2025-10-17,DELIVERED
O900432,C1536,2025-08-26,PLACED
O900433,C3505,2025-03-30,PLACED
O900434,C1369,2025-12-22,DELIVERED
O900435,C2951,2025-09-05,SHIPPED
O900436,C3622,2026-01-16,DELIVERED
O900437,C6294,2025-07-22,PLACED
O900438,C7685,2025-10-29,DELIVERED
O900439,C2351,2025-03-13,SHIPPED
O900440,C10412,2025-01-13,DELIVERED
O900441,C7283,2025-09-20,SHIPPED
O900442,C3708,2025-03-28,
O900443,C10160,2025-09-18,DELIVERED
O900444,C6669,2025-01-29,DELIVERED
O900445,C9090,2025-05-17,DELIVERED
O900446,C5171,2025-04-21,PLACED
O900447,C1900,2025-06-26,
O900448,C4660,2025-01-11,DELIVERED
O900449,C9466,2025-05-17,PLACED
O900450,C7363,2025-11-16,DELIVERED
O900451,C6967,2025-05-22,PLACED
O900452,C1536,2025-09-01,DELIVERED
O900453,C4633,2025-06-17,DELIVERED
O900454,C9940,2025-05-19,
O900455,C5431,2025-01-31,SHIPPED
O900456,C4809,2025-09-10,PLACED
O900457,C7820,2025-09-27,SHIPPED
O900458,C1420,2025-04-02,PLACED
O900459,C8795,2025-11-13,
O900460,C2247,2025-04-26,
O900461,C3686,2025-03-15,DELIVERED
O900462,C4782,2025-03-28,
O900463,C2734,2025-10-11,SHIPPED
O900464,C9345,2025-09-03,SHIPPED
O900465,C4943,2025-04-28,SHIPPED
O900466,C9711,2025-06-17,DELIVERED
O900467,C8640,2025-09-04,
O900468,C10434,2025-10-14,PLACED
O900469,C7368,2025-05-01,DELIVERED
O900470,C6139,2025-01-14,DELIVERED
O900471,C10200,2025-09-14,SHIPPED
O900472,C5180,2025-03-19,
O900473,C9585,2026-01-01,
O900474,C5440,2025-06-29,SHIPPED
O900475,C8108,2025-08-14,PLACED
O900476,C5694,2025-05-30,
O900477,C5027,2026-01-22,DELIVERED
O900478,C5485,2025-04-09,PLACED
O900479,C6121,2025-05-12,
O900480,C10049,2025-09-15,SHIPPED
O900481,C2643,2025-02-26,
O900482,C5949,2025-11-16,PLACED
O900483,C7183,2025-12-19,
O900484,C2336,2025-06-11,DELIVERED
O900485,C7386,2025-10-09,DELIVERED
O900486,C6831,2026-01-23,PLACED
O900487,C2831,2025-11-28,PLACED
O900488,C10581,2025-10-09,
O900489,C7625,2025-12-22,
O900490,C6148,2025-12-31,
O900491,C1850,2025-01-12,
O900492,C2812,2025-03-15,
O900493,C3155,2025-04-26,DELIVERED
O900494,C7697,2025-12-08,SHIPPED
O900495,C2399,2025-03-29,SHIPPED
O900496,C7575,2025-11-19,PLACED
O900497,C10526,2025-08-05,SHIPPED
O900498,C2584,2025-03-26,
O900499,C1883,2026-01-19,
O900500,C6344,2025-05-22,PLACED
O900501,C5296,2025-07-22,PLACED
O900502,C10270,2025-04-16,DELIVERED
O900503,C1842,2025-03-07,SHIPPED
O900504,C3941,2025-10-10,PLACED
O900505,C2531,2026-01-31,PLACED
O900506,C9221,2025-05-28,
O900507,C3749,2025-12-08,
O900508,C5694,2025-04-10,
O900509,C4781,2025-12-19,DELIVERED
O900510,C6105,2025-02-06,SHIPPED
O900511,C5339,2025-04-28,
O900512,C7799,2025-10-23,SHIPPED
O900513,C7040,2025-08-22,DELIVERED
O900514,C9486,2025-11-13,SHIPPED
O900515,C6021,2025-04-05,
O900516,C1769,2025-01-16,SHIPPED
O900517,C7101,2025-08-17,PLACED
O900518,C2653,2025-06-29,SHIPPED
O900519,C5350,2025-08-10,PLACED
O900520,C5204,2025-05-09,DELIVERED
O900521,C6354,2026-02-05,PLACED
O900522,C9634,2025-01-18,SHIPPED
O900523,C5893,2025-01-27,
O900524,C9301,2025-06-13,
O900525,C5424,2025-06-28,SHIPPED
O900526,C1041,2025-03-03,DELIVERED
O900527,C6052,2025-07-30,DELIVERED
O900528,C10207,2025-10-28,PLACED
O900529,C1564,2025-02-01,DELIVERED
O900530,C7362,2025-07-13,DELIVERED
O900531,C2738,2025-05-10,DELIVERED
O900532,C8333,2025-01-26,PLACED
O900533,C7998,2025-02-28,DELIVERED
O900534,C1006,2025-08-09,SHIPPED
O900535,C8865,2025-11-20,PLACED
O900536,C10420,2026-01-31,DELIVERED
O900537,C9495,2025-03-04,SHIPPED
O900538,C2015,2026-01-02,PLACED
O900539,C10136,2025-06-04,
O900540,C3326,2025-12-08,SHIPPED
O900541,C1798,2025-03-14,DELIVERED
O900542,C7029,2025-05-09,SHIPPED
O900543,C5170,2025-12-31,DELIVERED
O900544,C3978,2025-02-04,
O900545,C1179,2025-06-27,SHIPPED
O900546,C1548,2025-02-02,DELIVERED
O900547,C4930,2025-03-14,PLACED
O900548,C4723,2025-05-19,DELIVERED
O900549,C8828,2025-05-11,PLACED
O900550,C2448,2025-05-01,SHIPPED
O900551,C10851,2025-10-19,DELIVERED
O900552,C9474,2025-04-29,DELIVERED
O900553,C2861,2025-12-11,
O900554,C9228,2025-08-10,DELIVERED
O900555,C6628,2025-12-18,SHIPPED
O900556,C2618,2025-02-19,
O900557,C8227,2025-08-17,
O900558,C7708,2025-08-20,SHIPPED
O900559,C2342,2026-01-27,DELIVERED
O900560,C6719,2025-12-13,
O900561,C10127,2025-12-10,
O900562,C1012,2025-10-18,DELIVERED
O900563,C4720,2025-05-05,DELIVERED
O900564,C3335,2025-06-13,DELIVERED
O900565,C6916,2025-09-22,SHIPPED
O900566,C2690,2025-05-17,DELIVERED
O900567,C5076,2026-01-31,SHIPPED
O900568,C7894,2025-10-24,DELIVERED
O900569,C7004,2025-01-05,PLACED
O900570,C6230,2025-10-22,DELIVERED
O900571,C9899,2025-07-27,DELIVERED
O900572,C6092,2025-12-08,PLACED
O900573,C2472,2025-04-06,
O900574,C4192,2025-12-17,
O900575,C3921,2025-08-04,DELIVERED
O900576,C9810,2025-04-20,DELIVERED
O900577,C3863,2025-08-20,PLACED
O900578,C7779,2025-06-08,SHIPPED
O900579,C2702,2025-06-30,DELIVERED
O900580,C6786,2025-06-28,PLACED
O900581,C7427,2025-08-12,SHIPPED
O900582,C9847,2025-07-25,PLACED
O900583,C9356,2026-02-01,DELIVERED
O900584,C4865,2025-02-03,SHIPPED
O900585,C9752,2026-01-15,PLACED
O900586,C5300,2025-07-21,SHIPPED
O900587,C9856,2025-04-28,
O900588,C6704,2025-02-07,PLACED
O900589,C5954,2026-01-28,PLACED
O900590,C4802,2025-10-20,
O900591,C1517,2025-07-23,
O900592,C5419,2025-05-29,
O900593,C3056,2025-06-07,SHIPPED
O900594,C7907,2025-02-08,
O900595,C9838,2025-10-11,PLACED
O900596,C4124,2025-12-09,SHIPPED
O900597,C2307,2025-12-02,SHIPPED
O900598,C1202,2025-10-25,
O900599,C3182,2025-05-02,PLACED
O900600,C5455,2025-09-23,DELIVERED
O900601,C4810,2025-06-14,DELIVERED
O900602,C7356,2025-07-19,SHIPPED
O900603,C5327,2025-01-26,DELIVERED
O900604,C7888,2025-10-06,DELIVERED
O900605,C4750,2025-03-10,
O900606,C7809,2025-05-31,DELIVERED
O900607,C1239,2025-11-13,DELIVERED
O900608,C7119,2026-02-01,
O900609,C9093,2025-01-01,DELIVERED
O900610,C3479,2025-05-10,DELIVERED
O900611,C10293,2025-11-17,DELIVERED
O900612,C9792,2025-12-03,PLACED
O900613,C4260,2026-01-06,PLACED
O900614,C1062,2025-10-04,SHIPPED
O900615,C6401,2025-05-03,PLACED
O900616,C1529,2025-07-08,DELIVERED
O900617,C6072,2026-02-05,DELIVERED
O900618,C1086,2025-09-22,PLACED
O900619,C6943,2025-09-26,SHIPPED
O900620,C7722,2025-12-26,SHIPPED
O900621,C7640,2025-02-22,PLACED
O900622,C7175,2025-02-18,
O900623,C10971,2025-05-26,PLACED
O900624,C2536,2025-05-08,DELIVERED
O900625,C7357,2025-07-07,PLACED
O900626,C2498,2025-05-15,SHIPPED
O900627,C7283,2025-04-12,
O900628,C3409,2025-02-01,PLACED
O900629,C2194,2025-09-14,
O900630,C5003,2025-09-29,
O900631,C1421,2025-10-12,DELIVERED
O900632,C9272,2025-02-08,PLACED
O900633,C5414,2025-08-06,SHIPPED
O900634,C4196,2025-11-18,DELIVERED
O900635,C2979,2025-07-23,PLACED
O900636,C10265,2025-01-08,DELIVERED
O900637,C5506,2025-10-13,SHIPPED
O900638,C1648,2025-04-23,DELIVERED
O900639,C3149,2025-03-14,DELIVERED
O900640,C9006,2025-12-03,
O900641,C3113,2025-01-23,SHIPPED
O900642,C5001,2025-12-27,SHIPPED
O900643,C1871,2025-09-26,DELIVERED
O900644,C6451,2025-06-21,PLACED
O900645,C2762,2025-08-25,DELIVERED
O900646,C2569,2025-07-06,PLACED
O900647,C7463,2026-02-01,PLACED
O900648,C1537,2025-02-26,PLACED
O900649,C7621,2025-11-23,
O900650,C4006,2026-01-26,DELIVERED
O900651,C8325,2026-01-07,PLACED
O900652,C7925,2025-08-23,
O900653,C2656,2025-09-04,PLACED
O900654,C8350,2025-04-28,DELIVERED
O900655,C1005,2025-08-23,DELIVERED
O900656,C5355,2025-12-20,PLACED
O900657,C8526,2025-07-25,SHIPPED
O900658,C8737,2025-11-15,PLACED
O900659,C6251,2026-01-09,DELIVERED
O900660,C8467,2025-10-23,
O900661,C6762,2025-12-29,DELIVERED
O900662,C4389,2025-08-02,DELIVERED
O900663,C4254,2025-06-22,DELIVERED
O900664,C6304,2025-06-29,
O900665,C2862,2025-04-08,DELIVERED
O900666,C10727,2025-03-30,SHIPPED
O900667,C5199,2025-09-12,DELIVERED
O900668,C6794,2025-01-20,
O900669,C9440,2025-05-07,
O900670,C7809,2025-12-07,SHIPPED
O900671,C6867,2025-05-12,
O900672,C2922,2025-02-22,PLACED
O900673,C1387,2025-02-12,PLACED
O900674,C5848,2025-12-12,PLACED
O900675,C6741,2025-08-14,
O900676,C8993,2025-10-11,DELIVERED
O900677,C3781,2025-12-20,SHIPPED
O900678,C7077,2025-06-07,DELIVERED
O900679,C8999,2025-12-22,SHIPPED
O900680,C10260,2025-08-30,
O900681,C4391,2025-11-19,DELIVERED
O900682,C6530,2025-04-13,PLACED
O900683,C3851,2025-08-10,SHIPPED
O900684,C2682,2025-03-10,SHIPPED
O900685,C4572,2026-02-02,
O900686,C9295,2025-08-26,SHIPPED
O900687,C3448,2025-10-22,DELIVERED
O900688,C1080,2025-12-28,PLACED
O900689,C7291,2025-04-04,DELIVERED
O900690,C9030,2025-08-22,SHIPPED
O900691,C3313,2025-12-19,PLACED
O900692,C6093,2025-02-27,PLACED
O900693,C5263,2025-01-16,
O900694,C6676,2025-04-11,
O900695,C1075,2025-03-11,PLACED
